LocalDateTime,UTCOffset,DateTimeUTC,BGA,BattVolt,Chlorophyll,Discharge_cms,Door_Tot,EXOTime,EXOVolt,ODO,ODO_Local,ODO_Sat,RH_enc,Rain_Tot,SpCond,Stage,StageNaNCounter,StageOffset,TurbAvg,TurbBES,TurbMax,TurbMed,TurbMin,TurbVar,TurbWipe,WaterSurfaceElev,WaterTemp_EXO,WaterTemp_PT,WaterTemp_Turb,fDOM,pH
2024-01-01 00:00:00,-7.0,2024-01-01 07:00:00,0.04,12.77,0.1,,0.0,14.0,11.89,11.37,99.0,85.1,41.55,,387.9,19.76,0.0,1.415,2.23,2.03,9.28,2.01,1.67,0.757,0.0,7.465745,3.22,3.199,3.2,-1.73,8.37
2024-01-01 00:15:00,-7.0,2024-01-01 07:15:00,0.04,12.76,0.1,,0.0,1514.0,11.89,11.37,98.9,85.0,37.62,,387.8,19.62,0.0,1.415,2.1,2.02,3.77,2.01,1.66,0.11,0.0,7.464282,3.21,3.196,3.2,-1.74,8.37
2024-01-01 00:30:00,-7.0,2024-01-01 07:30:00,0.05,12.76,0.12,,0.0,3014.0,11.89,11.36,98.8,85.0,37.96,,387.6,19.79,0.0,1.415,2.17,2.01,10.8,2.01,1.65,0.855,0.0,7.46603,3.2,3.188,3.2,-1.74,8.36
2024-01-01 00:45:00,-7.0,2024-01-01 07:45:00,0.04,12.76,0.1,,0.0,4513.0,11.89,11.36,98.8,84.9,36.94,,387.7,19.74,0.0,1.415,2.16,2.08,4.2,2.05,1.7,0.15,0.0,7.465507,3.18,3.172,3.2,-1.74,8.36
2024-01-01 01:00:00,-7.0,2024-01-01 08:00:00,0.05,12.76,0.12,,0.0,10013.0,11.89,11.37,98.8,84.9,38.36,,387.8,19.52,0.0,1.415,2.11,2.02,4.23,2.0,1.62,0.159,0.0,7.463349,3.16,3.152,3.1,-1.74,8.36
2024-01-01 01:15:00,-7.0,2024-01-01 08:15:00,0.07,12.74,0.11,,0.0,11513.0,11.89,11.38,98.8,84.9,37.96,,387.8,19.4,0.0,1.415,2.06,1.92,4.25,1.91,1.63,0.219,0.0,7.462131,3.14,3.122,3.1,-1.76,8.36
2024-01-01 01:30:00,-7.0,2024-01-01 08:30:00,0.05,12.74,0.13,,0.0,13013.0,11.89,11.38,98.7,84.9,34.53,,387.9,19.41,0.0,1.415,2.26,2.17,4.98,2.16,1.73,0.227,0.0,7.462259,3.1,3.093,3.1,-1.74,8.36
2024-01-01 01:45:00,-7.0,2024-01-01 08:45:00,0.04,12.74,0.16,,0.0,14513.0,11.89,11.4,98.8,84.9,33.03,,388.0,19.35,0.0,1.415,2.95,2.52,19.71,2.49,1.98,3.727,0.0,7.461652,3.05,3.048,3.0,-1.78,8.35
2024-01-01 02:00:00,-7.0,2024-01-01 09:00:00,0.07,12.74,0.16,,0.0,20013.0,11.89,11.4,98.7,84.9,33.75,,388.9,19.48,0.0,1.415,2.26,2.14,4.23,2.12,1.77,0.225,0.0,7.462934,3.04,3.029,3.0,-1.76,8.36
2024-01-01 02:15:00,-7.0,2024-01-01 09:15:00,0.05,12.73,0.13,,0.0,21513.0,11.89,11.41,98.7,84.9,33.68,,388.9,19.51,0.0,1.415,2.35,2.08,6.72,2.04,1.63,0.742,0.0,7.463212,3.01,3.005,3.0,-1.76,8.35
2024-01-01 02:30:00,-7.0,2024-01-01 09:30:00,0.05,12.73,0.13,,0.0,23014.0,11.89,11.4,98.7,84.8,36.84,,389.3,19.53,0.0,1.415,2.51,2.08,13.36,2.06,1.73,2.675,0.0,7.46348,2.98,2.976,3.0,-1.76,8.35
2024-01-01 02:45:00,-7.0,2024-01-01 09:45:00,0.05,12.72,0.18,,0.0,24513.0,11.89,11.42,98.7,84.8,39.05,,389.0,19.63,0.0,1.415,2.04,1.93,4.81,1.91,1.58,0.225,0.0,7.464397,2.97,2.96,2.9,-1.76,8.35
2024-01-01 03:00:00,-7.0,2024-01-01 10:00:00,0.06,12.72,0.2,,0.0,30013.0,11.89,11.44,98.8,84.9,39.69,,389.3,20.01,0.0,1.415,2.01,1.85,8.26,1.84,1.57,0.508,0.0,7.468226,2.94,2.934,2.9,-1.78,8.35
2024-01-01 03:15:00,-7.0,2024-01-01 10:15:00,0.05,12.71,0.19,,0.0,31513.0,11.89,11.44,98.7,84.9,40.41,,389.4,20.3,0.0,1.415,2.57,2.14,19.7,2.11,1.76,4.27,0.0,7.471142,2.9,2.897,2.9,-1.76,8.35
2024-01-01 03:30:00,-7.0,2024-01-01 10:30:00,0.06,12.72,0.22,,0.0,33013.0,11.89,11.45,98.7,84.9,40.89,,389.9,20.41,0.0,1.415,2.83,2.8,3.93,2.79,2.27,0.1,0.0,7.472226,2.86,2.851,2.8,-1.79,8.35
2024-01-01 03:45:00,-7.0,2024-01-01 10:45:00,0.08,12.71,0.27,,0.0,34513.0,11.89,11.47,98.8,84.9,35.56,,390.0,20.49,0.0,1.415,2.99,2.8,12.51,2.8,2.33,1.163,0.0,7.473043,2.84,2.835,2.8,-1.77,8.35
2024-01-01 04:00:00,-7.0,2024-01-01 11:00:00,0.07,12.7,0.21,,0.0,40013.0,11.89,11.48,98.9,85.0,34.54,,389.8,20.56,0.0,1.415,3.54,2.63,48.46,2.6,2.2,24.33,0.0,7.473685,2.83,2.816,2.8,-1.75,8.35
2024-01-01 04:15:00,-7.0,2024-01-01 11:15:00,0.08,12.7,0.24,,0.0,41513.0,11.88,11.49,99.0,85.1,35.39,,389.7,20.65,0.0,1.415,2.84,2.72,5.88,2.68,2.24,0.268,0.0,7.474642,2.83,2.817,2.8,-1.76,8.35
2024-01-01 04:30:00,-7.0,2024-01-01 11:30:00,0.07,12.7,0.18,,0.0,43013.0,11.88,11.48,98.9,85.0,39.4,,389.9,20.64,0.0,1.415,2.53,2.41,4.89,2.36,1.86,0.215,0.0,7.474483,2.82,2.806,2.8,-1.79,8.35
