Timestamp,LeftBank,RightBank_1,RightBank_2
3/22/2024 13:30,66229,102066,
3/22/2024 14:30,66896,102942,
3/22/2024 15:30,67304,99524,
3/22/2024 16:30,65851,99632,
3/22/2024 17:30,67199,99787,
3/22/2024 18:30,68784,98980,
3/22/2024 19:30,71541,96031,
3/22/2024 20:30,68914,100193,
3/22/2024 21:30,67172,96267,
3/22/2024 22:30,69452,97610,
3/22/2024 23:30,68111,98573,
3/23/2024 0:30,66440,99913,
3/23/2024 1:30,72506,112359,
3/23/2024 2:30,69616,111842,
3/23/2024 3:30,74484,128328,
3/23/2024 4:30,76997,121532,
3/23/2024 5:30,71183,112821,
3/23/2024 6:30,69972,111789,
3/23/2024 7:30,73923,105791,
3/23/2024 8:30,76792,115878,
3/23/2024 9:30,70663,107089,
3/23/2024 10:30,68600,107920,
3/23/2024 11:30,69302,107136,
3/23/2024 12:30,68995,107890,
3/23/2024 13:30,70231,104991,
3/23/2024 14:30,70996,107314,
3/23/2024 15:30,73043,106323,
3/23/2024 16:30,73158,103410,
3/23/2024 17:30,69495,101267,
3/23/2024 18:30,68732,105786,
3/23/2024 19:30,68638,101745,
3/23/2024 20:30,65628,101802,
3/23/2024 21:30,68155,101657,
3/23/2024 22:30,65596,101981,
3/23/2024 23:30,70309,103499,
3/24/2024 0:30,69735,98480,
3/24/2024 1:30,62442,99712,
3/24/2024 2:30,69972,103852,
3/24/2024 3:30,75154,107393,
3/24/2024 4:30,76195,104382,
3/24/2024 5:30,73622,103723,
3/24/2024 6:30,74207,105281,
3/24/2024 7:30,74403,103910,
3/24/2024 8:30,73263,105174,
3/24/2024 9:30,75642,104218,
3/24/2024 10:30,73307,103009,
3/24/2024 11:30,73923,106586,
3/24/2024 12:30,72564,104893,
3/24/2024 13:30,71265,106312,
3/24/2024 14:30,72873,82278,
3/24/2024 15:30,73423,117917,
3/24/2024 16:30,73395,112447,
3/24/2024 17:30,74119,110579,
3/24/2024 18:30,70370,106788,
3/24/2024 19:30,74150,101853,
3/24/2024 20:30,72794,101731,
3/24/2024 21:30,73280,104908,
3/24/2024 22:30,71885,105422,
3/24/2024 23:30,74341,102674,
3/25/2024 0:30,74424,107656,
3/25/2024 1:30,69577,114888,
3/25/2024 2:30,71244,109910,
3/25/2024 3:30,69450,112671,
3/25/2024 4:30,63204,106200,
3/25/2024 5:30,66555,96785,
3/25/2024 6:30,66369,100900,
3/25/2024 7:30,71218,99016,
3/25/2024 8:30,68940,96422,
3/25/2024 9:30,64164,96735,
3/25/2024 10:30,61931,83769,
3/25/2024 11:30,68095,92002,
3/25/2024 12:30,72438,93297,
3/25/2024 13:30,79232,94112,
3/25/2024 14:30,74332,102029,
3/25/2024 15:30,80867,100023,
3/25/2024 16:30,77361,98551,
3/25/2024 17:30,68633,103645,
3/25/2024 18:30,68340,97928,
3/25/2024 19:30,67432,101632,
3/25/2024 20:30,66005,88411,
3/25/2024 21:30,75239,95680,
3/25/2024 22:30,70441,97000,
3/25/2024 23:30,71820,95016,
3/26/2024 0:30,71492,91047,
3/26/2024 1:30,71199,91546,
3/26/2024 2:30,71772,94421,
3/26/2024 3:30,72442,96831,
3/26/2024 4:30,75067,100540,
3/26/2024 5:30,63792,93381,
3/26/2024 6:30,69263,108668,
3/26/2024 7:30,67992,89395,
3/26/2024 8:30,69136,100795,
3/26/2024 9:30,66291,88366,
3/26/2024 10:30,70389,91311,
3/26/2024 11:30,69018,92186,
3/26/2024 12:30,68347,94367,
3/26/2024 13:30,66320,91386,
3/26/2024 14:30,68568,92272,
3/26/2024 15:30,70345,93991,
3/26/2024 16:30,69434,94603,
3/26/2024 17:29,71424,94369,
3/26/2024 18:29,73053,96032,
3/26/2024 19:29,68211,92496,
3/26/2024 20:29,62823,106441,
3/26/2024 21:29,64187,99458,
3/26/2024 22:29,68339,103294,
3/26/2024 23:29,67694,109987,
3/27/2024 0:29,72316,89085,
3/27/2024 1:29,67139,90965,
3/27/2024 2:29,69972,86107,
3/27/2024 3:29,69950,86938,
3/27/2024 4:29,71196,89326,
3/27/2024 5:29,68508,89385,
3/27/2024 6:29,66337,92981,
3/27/2024 7:29,66859,88643,
3/27/2024 8:29,66651,92882,
3/27/2024 9:29,70004,91824,
3/27/2024 10:29,64309,84582,
3/27/2024 11:29,66111,87670,
3/27/2024 12:29,70864,88910,
3/27/2024 13:29,68332,90068,
3/27/2024 14:29,73183,89831,
3/27/2024 15:29,71921,93057,
3/27/2024 16:29,70878,91211,
3/27/2024 17:29,73692,93666,
3/27/2024 18:29,70790,92584,
3/27/2024 19:29,67924,93043,
3/27/2024 20:29,71214,91529,
3/27/2024 21:29,71328,91466,
3/27/2024 22:29,71016,96592,
3/27/2024 23:29,71352,97659,
3/28/2024 0:29,73272,95789,
3/28/2024 1:29,66408,97830,
3/28/2024 2:29,72690,98346,
3/28/2024 3:29,73532,98327,
3/28/2024 4:29,73500,102658,
3/28/2024 5:29,82510,97405,
3/28/2024 6:29,62856,96902,
3/28/2024 7:29,60264,96052,
3/28/2024 8:29,67488,93472,
3/28/2024 9:29,4140,39640,
3/28/2024 10:29,65760,96662,
3/28/2024 11:29,65034,89361,
3/28/2024 12:29,70992,91593,
3/28/2024 13:29,74538,97859,
3/28/2024 14:29,71976,96445,
3/28/2024 15:29,74172,96496,
3/28/2024 16:29,72366,99706,
3/28/2024 17:29,75528,99935,
3/28/2024 18:29,79799,94313,
3/28/2024 19:29,79362,96590,
3/28/2024 20:29,73335,95972,
3/28/2024 21:29,73090,99092,
3/28/2024 22:29,68088,99667,
3/28/2024 23:29,68028,93472,
3/29/2024 0:29,69324,94836,
3/29/2024 1:29,68112,104950,
3/29/2024 2:29,69384,78902,
3/29/2024 3:29,68998,90713,
3/29/2024 4:29,72540,96825,
3/29/2024 5:29,74484,97673,
3/29/2024 6:29,72390,96129,
3/29/2024 7:29,72624,88034,
3/29/2024 8:29,72127,96398,
3/29/2024 9:29,73608,96311,
3/29/2024 10:29,73686,97186,
3/29/2024 11:29,72960,93643,
3/29/2024 12:29,71640,100502,
3/29/2024 13:29,70422,99828,
3/29/2024 14:29,68966,104796,
3/29/2024 15:29,76160,105755,
3/29/2024 16:29,74435,104647,
3/29/2024 17:29,75462,106097,
3/29/2024 18:29,61786,100925,
3/29/2024 19:29,63885,104850,
3/29/2024 20:29,71491,118344,
3/29/2024 21:29,69926,107601,
3/29/2024 22:29,69948,107208,
3/29/2024 23:29,70284,105692,
3/30/2024 0:29,70308,99778,
3/30/2024 1:29,67542,106345,
3/30/2024 2:29,71016,92135,
