Timestamp,LeftBank,RightBank_1,RightBank_2
2023-12-14 12:57:06,84131,110524,82812
2023-12-14 12:59:28,80389,84412,82385
2023-12-14 13:29:49,82826,124884,82311
2023-12-14 13:31:58,84201,122924,79772
2023-12-14 14:02:18,82907,94036,79428
2023-12-14 14:04:27,84927,101868,81159
2023-12-14 14:34:49,83869,91900,80153
2023-12-14 14:36:58,84248,90556,79915
2023-12-14 15:07:22,78626,60061,75870
2023-12-14 15:09:31,84758,81164,79978
2023-12-14 15:40:03,81661,88037,79080
2023-12-14 15:42:12,81456,78028,77864
2023-12-14 16:12:35,83801,77108,79900
2023-12-14 16:14:44,81291,90636,78650
2023-12-14 16:45:06,81228,72244,77647
2023-12-14 16:47:11,79860,70748,74258
2023-12-14 17:17:31,384,0,98
2023-12-14 17:19:10,59693,38336,77235
2023-12-14 17:49:29,0,17056,0
2023-12-14 17:51:03,0,0,24000
2023-12-14 18:21:23,4768,2176,9128
2023-12-14 18:23:08,21888,90216,448
2023-12-14 18:53:26,2880,0,14032
2023-12-14 18:55:13,0,0,0
2023-12-14 19:25:34,0,0,0
2023-12-14 19:27:19,480,0,64
2023-12-14 19:57:36,0,0,0
2023-12-14 19:59:19,0,0,0
2023-12-14 20:29:39,22528,7456,0
2023-12-14 20:31:24,0,0,0
2023-12-14 21:01:44,0,0,0
2023-12-14 21:03:27,736,0,0
2023-12-14 21:33:45,18944,58248,0
2023-12-14 21:35:32,0,0,0
2023-12-14 22:05:51,3072,68704,0
2023-12-14 22:07:37,0,0,0
2023-12-14 22:37:57,0,0,0
2023-12-14 22:39:42,0,55392,0
2023-12-14 23:09:59,0,61176,0
2023-12-14 23:11:44,0,0,0
2023-12-14 23:42:02,0,65104,0
2023-12-14 23:43:47,13152,0,28776
2023-12-15 00:14:07,0,0,0
2023-12-15 00:16:06,22688,115096,72192
2023-12-15 00:46:23,0,29872,0
2023-12-15 00:48:09,38912,133768,44672
2023-12-15 01:18:28,30240,91048,0
2023-12-15 01:20:14,0,0,34328
2023-12-15 01:50:33,24960,103456,0
2023-12-15 01:52:20,66048,118944,92468
2023-12-15 02:22:39,34432,94336,82236
2023-12-15 02:24:25,1568,0,0
2023-12-15 02:54:45,0,13528,0
2023-12-15 02:56:31,13920,92904,77764
2023-12-15 03:26:48,0,22664,0
2023-12-15 03:28:34,0,44528,0
2023-12-15 03:58:54,46996,112896,70552
2023-12-15 04:00:39,32928,0,0
2023-12-15 04:30:59,0,0,26888
2023-12-15 04:32:45,0,0,0
2023-12-15 05:03:02,0,0,0
2023-12-15 05:04:48,46764,123984,63764
2023-12-15 05:35:08,6272,81696,512
2023-12-15 05:36:56,0,0,31240
2023-12-15 06:07:20,160,0,69480
2023-12-15 06:09:04,0,0,0
2023-12-15 06:39:24,4608,122640,76088
2023-12-15 06:41:10,0,0,0
2023-12-15 07:11:30,80796,67204,87084
2023-12-15 07:13:06,83292,79172,86452
2023-12-15 07:43:21,89892,81084,81945
2023-12-15 07:45:30,89100,83556,82569
2023-12-15 08:15:56,85773,80060,83455
2023-12-15 08:18:00,86275,94268,81129
2023-12-15 08:48:23,86799,86220,81462
2023-12-15 08:50:28,85458,79204,82299
2023-12-15 09:20:56,85878,78500,81036
2023-12-15 09:23:01,84112,83492,81235
2023-12-15 09:53:35,85097,78500,81439
2023-12-15 09:55:43,84482,73420,81862
2023-12-15 10:26:08,83781,114988,81131
2023-12-15 10:28:15,82606,79204,81954
2023-12-15 11:06:07,82421,73356,81490
2023-12-15 11:08:13,82651,91556,80318
2023-12-15 11:51:40,80545,91964,82066
2023-12-15 11:53:47,81481,83068,83362
2023-12-15 12:26:33,86953,107564,79235
2023-12-15 12:28:40,82579,98732,82429
2023-12-15 13:01:04,83217,111060,81923
2023-12-15 13:03:12,81639,79564,82366
2023-12-15 13:33:42,82202,126844,81571
2023-12-15 13:35:50,85184,111532,80485
2023-12-15 14:06:16,80718,74724,80523
2023-12-15 14:08:26,75732,68340,74627
2023-12-15 14:38:48,78164,71540,78659
2023-12-15 14:40:58,77843,80780,21853
2023-12-15 15:11:19,79526,67828,73238
2023-12-15 15:13:30,78201,68572,74469
2023-12-15 15:43:52,78964,67420,75907
2023-12-15 15:46:00,78642,70876,77163
2023-12-15 16:16:23,66665,61404,70081
2023-12-15 16:18:34,68599,62940,61067
2023-12-15 16:49:07,76274,67740,79947
2023-12-15 16:51:15,75056,65948,71990
2023-12-15 17:21:39,1236,0,83
2023-12-15 17:23:20,621,0,13692
2023-12-15 17:53:40,0,0,24712
2023-12-15 17:55:09,0,55936,0
2023-12-15 18:25:31,27104,60272,82456
2023-12-15 18:27:13,21600,131040,73920
2023-12-15 18:57:35,0,0,2232
2023-12-15 18:59:20,40032,126200,49208
2023-12-15 19:29:38,0,0,256
2023-12-15 19:31:21,0,0,0
2023-12-15 20:01:39,0,0,0
2023-12-15 20:03:21,19396,0,0
2023-12-15 20:33:38,2528,70840,49220
2023-12-15 20:35:23,4960,35072,22200
2023-12-15 21:05:40,0,50144,0
2023-12-15 21:07:24,0,58952,0
2023-12-15 21:37:41,0,0,0
2023-12-15 21:39:26,16032,0,55180
2023-12-15 22:09:44,0,90224,128
2023-12-15 22:11:30,0,47576,0
2023-12-15 22:41:50,0,0,22520
2023-12-15 22:43:34,23968,103424,42352
2023-12-15 23:14:04,0,0,0
2023-12-15 23:15:48,0,20912,0
2023-12-15 23:46:08,0,21232,0
2023-12-15 23:47:55,0,0,20392
2023-12-16 00:18:12,1344,43104,34840
2023-12-16 00:19:59,0,0,0
2023-12-16 00:50:20,0,9752,0
2023-12-16 00:52:07,0,0,0
2023-12-16 01:22:26,0,0,0
2023-12-16 01:24:12,0,0,43676
2023-12-16 01:54:39,0,976,0
2023-12-16 01:56:24,0,0,0
2023-12-16 02:26:49,0,0,74564
2023-12-16 02:28:35,0,0,0
2023-12-16 02:58:55,0,12248,0
2023-12-16 03:00:41,0,0,0
2023-12-16 03:31:09,0,0,0
2023-12-16 03:32:53,0,0,0
2023-12-16 04:03:14,0,0,0
2023-12-16 04:04:58,0,5848,0
2023-12-16 04:35:18,0,0,0
2023-12-16 04:37:01,0,22176,111324
2023-12-16 05:07:24,0,0,44952
2023-12-16 05:09:09,0,0,0
2023-12-16 05:39:29,0,11696,0
2023-12-16 05:41:14,0,66160,0
2023-12-16 06:11:33,0,0,0
2023-12-16 06:13:18,0,0,0
2023-12-16 06:43:36,19872,1920,0
2023-12-16 06:45:20,18176,29376,61096
2023-12-16 07:15:38,82908,68956,83900
2023-12-16 07:17:17,86364,71516,84284
2023-12-16 07:47:32,86604,83516,83102
2023-12-16 07:49:40,88140,87036,83984
2023-12-16 08:19:59,91044,104108,82679
2023-12-16 08:22:07,88692,82380,84101
2023-12-16 08:52:26,87189,77220,81923
2023-12-16 08:54:33,85752,86012,81601
2023-12-16 09:24:53,86420,81084,80457
2023-12-16 09:27:01,84521,76900,81260
2023-12-16 09:57:21,87335,87764,82130
2023-12-16 09:59:28,85493,87844,82792
2023-12-16 10:29:49,85692,92116,82371
2023-12-16 10:31:57,87441,97132,81605
2023-12-16 11:02:25,83825,103932,82960
2023-12-16 11:04:31,87844,92900,80853
2023-12-16 11:34:52,85346,97852,81098
2023-12-16 11:36:59,84144,104660,81926
2023-12-16 12:07:18,82854,94524,80526
2023-12-16 12:09:25,84182,110076,81944
2023-12-16 12:39:44,77725,89764,81366
2023-12-16 12:41:52,81851,97276,80728
2023-12-16 13:12:11,79968,82148,80338
2023-12-16 13:14:19,79703,75340,81427
2023-12-16 13:44:39,81818,72460,78056
2023-12-16 13:46:47,78759,78028,78295
2023-12-16 14:17:06,76119,66332,76833
2023-12-16 14:19:16,78962,59484,78019
2023-12-16 14:49:42,75460,44100,72840
2023-12-16 14:51:52,69806,49028,25302
2023-12-16 15:22:14,79746,78412,79925
2023-12-16 15:24:24,78971,71668,76678
2023-12-16 15:54:46,80077,72460,80363
2023-12-16 15:56:54,77948,71412,82780
2023-12-16 16:27:13,70287,64708,77998
2023-12-16 16:29:23,55143,41110,78742
2023-12-16 16:59:57,74675,65461,79447
2023-12-16 17:02:01,72935,66100,80099
2023-12-16 17:32:22,73504,60676,67988
2023-12-16 17:33:52,63040,38272,81508
2023-12-16 18:04:10,0,0,0
2023-12-16 18:05:52,0,31584,0
2023-12-16 18:36:10,0,0,0
2023-12-16 18:37:56,0,70744,0
2023-12-16 19:08:14,0,0,0
2023-12-16 19:09:57,0,53592,0
2023-12-16 19:40:14,0,0,0
2023-12-16 19:41:49,384,8160,15416
2023-12-16 20:12:06,0,0,0
2023-12-16 20:13:42,0,0,1600
2023-12-16 20:43:59,16576,1312,18712
2023-12-16 20:45:34,0,0,0
2023-12-16 21:15:51,9120,3296,38692
2023-12-16 21:17:26,6016,9408,25720
2023-12-16 21:47:43,0,0,0
2023-12-16 21:49:19,0,3712,0
2023-12-16 22:19:36,0,0,0
2023-12-16 22:21:11,0,0,0
2023-12-16 22:55:53,0,0,0
2023-12-16 22:57:27,0,0,0
2023-12-16 23:39:16,0,9248,57052
2023-12-16 23:40:50,0,0,13320
2023-12-17 00:11:15,0,0,0
2023-12-17 00:12:59,0,5696,0
2023-12-17 00:43:31,0,0,45272
2023-12-17 00:45:18,0,0,88604
2023-12-17 01:15:35,0,0,0
2023-12-17 01:17:22,0,6808,0
2023-12-17 01:47:40,0,0,0
2023-12-17 01:49:27,0,12976,0
2023-12-17 02:19:44,0,0,0
2023-12-17 02:21:30,0,89472,0
2023-12-17 02:51:48,0,0,0
2023-12-17 02:53:31,0,0,0
2023-12-17 03:23:48,2784,137376,107796
2023-12-17 03:25:34,0,7896,0
2023-12-17 03:55:52,0,46288,0
2023-12-17 03:57:37,0,60568,0
2023-12-17 04:27:54,0,0,0
2023-12-17 04:29:39,0,0,0
2023-12-17 04:59:58,0,76096,0
2023-12-17 05:01:43,0,57016,0
2023-12-17 05:32:01,0,0,0
2023-12-17 05:33:45,0,0,0
2023-12-17 06:04:03,0,27720,4608
2023-12-17 06:05:46,0,67208,0
2023-12-17 06:36:04,0,105616,61008
2023-12-17 06:37:48,0,0,0
2023-12-17 07:08:06,80772,82244,87660
2023-12-17 07:09:42,80796,69892,84708
2023-12-17 07:39:57,90852,84476,81337
2023-12-17 07:42:03,88140,83812,81043
2023-12-17 08:12:22,87972,89916,81611
2023-12-17 08:14:25,87588,91516,81367
2023-12-17 08:44:43,88742,78476,80418
2023-12-17 08:46:49,86820,81060,80393
2023-12-17 09:17:08,83539,78820,80540
2023-12-17 09:19:15,87180,91876,81060
2023-12-17 09:49:36,82567,84004,81971
2023-12-17 09:51:43,87567,83108,83067
2023-12-17 10:22:04,83161,95676,81725
2023-12-17 10:24:11,81832,103204,80695
2023-12-17 10:54:37,81611,98980,81332
2023-12-17 10:56:43,82627,100580,81529
2023-12-17 11:28:21,82658,97148,80719
2023-12-17 11:30:28,80527,76516,79913
2023-12-17 12:00:48,83346,81124,79707
2023-12-17 12:02:55,83595,76516,81359
2023-12-17 12:33:13,79084,72972,79712
2023-12-17 12:35:21,83344,93004,79806
2023-12-17 13:05:41,81798,71052,78986
2023-12-17 13:07:48,81839,83684,81221
2023-12-17 13:38:07,81886,81572,79754
2023-12-17 13:40:16,84122,92644,81153
2023-12-17 14:10:37,81498,79588,80966
2023-12-17 14:12:45,83573,71796,78111
2023-12-17 14:43:03,74163,61980,77771
2023-12-17 14:45:13,75468,61764,79783
2023-12-17 15:15:35,72935,57216,80354
2023-12-17 15:17:43,63056,59012,75392
2023-12-17 15:48:03,47641,51013,78085
2023-12-17 15:50:10,3097,29374,58314
2023-12-17 16:20:29,2349,53,1443
2023-12-17 16:22:36,1494,2,1196
2023-12-17 16:52:55,31007,43656,74571
2023-12-17 16:54:58,2408,7,1475
2023-12-17 17:25:18,346,0,194
2023-12-17 17:26:55,73284,54468,76436
2023-12-17 17:57:13,0,27768,0
2023-12-17 17:58:47,0,54368,0
2023-12-17 18:29:06,4416,127640,41544
2023-12-17 18:30:47,0,79448,0
2023-12-17 19:01:05,26720,114696,81728
2023-12-17 19:02:46,28704,139680,62040
2023-12-17 19:33:03,0,92144,0
2023-12-17 19:34:44,0,0,0
2023-12-17 20:05:01,0,0,0
2023-12-17 20:06:43,0,0,0
2023-12-17 20:37:01,8224,78528,0
2023-12-17 20:38:43,0,92464,0
2023-12-17 21:09:02,0,0,0
2023-12-17 21:10:42,0,0,0
2023-12-17 21:41:00,21376,109488,1280
2023-12-17 21:42:41,0,0,0
2023-12-17 22:12:59,8928,0,0
2023-12-17 22:14:44,0,0,0
2023-12-17 22:45:02,0,0,0
2023-12-17 22:46:47,0,0,10600
2023-12-17 23:17:05,0,0,0
2023-12-17 23:18:50,0,13616,0
2023-12-17 23:49:08,0,10520,0
2023-12-17 23:50:54,0,28976,0
2023-12-18 00:21:13,0,21872,0
2023-12-18 00:22:57,0,19824,0
2023-12-18 00:53:16,0,0,0
2023-12-18 00:55:02,0,80456,0
2023-12-18 01:25:26,0,0,0
2023-12-18 01:27:09,0,0,23128
2023-12-18 01:57:27,0,0,0
2023-12-18 01:59:10,0,14664,0
2023-12-18 02:29:28,0,3336,82488
2023-12-18 02:31:12,0,0,0
2023-12-18 03:01:33,0,0,0
2023-12-18 03:03:19,0,0,0
2023-12-18 03:33:37,0,6408,103184
2023-12-18 03:35:22,0,0,0
2023-12-18 04:05:40,0,4120,0
2023-12-18 04:07:26,0,9112,0
2023-12-18 04:37:43,0,0,0
2023-12-18 04:39:29,0,0,0
2023-12-18 05:09:46,0,0,0
2023-12-18 05:11:31,0,0,0
2023-12-18 05:41:49,0,544,0
2023-12-18 05:43:33,0,0,0
2023-12-18 06:13:51,0,20168,27192
2023-12-18 06:15:36,0,6872,0
2023-12-18 06:45:53,0,0,0
2023-12-18 06:47:39,0,7960,0
2023-12-18 07:17:56,84252,71708,81972
2023-12-18 07:19:35,79644,73308,85124
2023-12-18 07:49:50,88332,84244,83289
2023-12-18 07:51:58,87756,97068,82487
2023-12-18 08:22:17,90646,93036,81917
2023-12-18 08:24:24,87375,102660,82860
2023-12-18 08:54:43,87396,93908,82445
2023-12-18 08:56:50,84300,99708,81978
2023-12-18 09:27:09,86988,99948,81933
2023-12-18 09:29:15,84876,94628,81764
2023-12-18 09:59:38,86988,94548,84084
2023-12-18 10:01:43,86412,92092,83747
2023-12-18 10:32:04,87588,81380,82446
2023-12-18 10:34:11,86028,89724,83131
2023-12-18 11:04:44,87180,85012,83536
2023-12-18 11:06:52,84876,76516,81890
2023-12-18 11:37:15,82608,96380,82396
2023-12-18 11:39:22,80647,101436,81450
2023-12-18 12:09:42,80628,76876,78056
2023-12-18 12:11:52,81576,76900,82841
2023-12-18 12:42:15,80652,78028,80580
2023-12-18 12:44:23,80301,110140,80347
2023-12-18 13:14:43,82574,74380,78720
2023-12-18 13:16:52,85644,74764,79237
2023-12-18 13:47:14,85238,77092,81044
2023-12-18 13:49:20,85068,81004,79036
2023-12-18 14:19:44,84877,83812,80577
2023-12-18 14:21:51,83169,69876,77311
2023-12-18 14:52:13,74794,63988,75496
2023-12-18 14:54:16,71857,56260,75116
2023-12-18 15:24:36,80893,79372,79052
2023-12-18 15:26:46,77556,68172,73716
2023-12-18 15:57:07,78717,76172,72796
2023-12-18 15:59:15,80845,76108,71969
2023-12-18 16:29:36,82959,75556,74070
2023-12-18 16:31:44,80105,75596,73068
2023-12-18 17:02:03,84496,96004,77279
2023-12-18 17:04:06,84900,102340,77350
2023-12-18 17:34:43,73696,61508,85396
2023-12-18 17:36:05,0,0,27980
2023-12-18 18:06:46,0,0,0
2023-12-18 18:08:34,14580,72776,107020
2023-12-18 18:39:10,0,0,103452
2023-12-18 18:40:53,0,6680,103148
2023-12-18 19:11:17,0,0,91692
2023-12-18 19:13:01,0,6488,0
2023-12-18 19:43:19,0,0,0
2023-12-18 19:45:04,160,0,0
2023-12-18 20:15:22,0,0,0
2023-12-18 20:17:06,0,38516,94948
2023-12-18 20:47:25,0,0,0
2023-12-18 20:49:08,36224,5280,101452
2023-12-18 21:19:26,0,800,0
2023-12-18 21:21:08,0,6232,0
2023-12-18 21:51:26,0,0,88264
2023-12-18 21:53:10,0,0,0
2023-12-18 22:23:28,0,0,0
2023-12-18 22:25:14,0,0,0
2023-12-18 22:55:33,0,0,69564
2023-12-18 22:57:17,0,0,0
2023-12-18 23:27:36,0,6080,0
2023-12-18 23:29:19,0,7256,0
2023-12-18 23:59:38,0,0,0
2023-12-19 00:01:23,0,0,0
2023-12-19 00:31:42,0,0,0
2023-12-19 00:33:26,0,0,0
2023-12-19 01:03:45,0,0,99836
2023-12-19 01:05:30,0,320,103224
2023-12-19 01:35:47,0,0,80104
2023-12-19 01:37:35,0,5424,0
2023-12-19 02:07:53,2688,14656,84256
2023-12-19 02:09:39,64364,135216,96108
2023-12-19 02:39:56,0,0,97112
2023-12-19 02:41:41,25280,146680,101180
2023-12-19 03:11:59,0,0,107720
2023-12-19 03:13:42,35412,53440,112500
2023-12-19 03:44:00,29696,42976,111988
2023-12-19 03:45:47,0,0,104624
2023-12-19 04:16:05,50176,128512,101628
2023-12-19 04:17:49,0,0,27880
2023-12-19 04:48:09,8992,35700,100456
2023-12-19 04:49:50,30016,74544,104620
2023-12-19 05:20:08,44820,5856,106612
2023-12-19 05:21:52,1440,0,0
2023-12-19 05:52:09,47892,58284,110888
